subject,session,run_cond,spot,condition,component,window_start_ms,window_end_ms,selected_rank,channel_idx,latency_ms,amplitude_uv,channel,source_files,source_originals
08EN,45,real,M1_AP,rest,p60,55.0,70.0,3,48,59.80000000000001,5.949374153017998,FCz,session_45__set_3__cleaned_SOUND.mat; session_45__set_7__cleaned_SOUND.mat,03_08EN_M1_AP_45MSO_real.hdf5; 07_08EN_M1_AP_45MSO_real.hdf5
08EN,45,real,M1_AP,rest,n100,80.0,120.0,1,34,113.0,-7.055920313112438,AF7,session_45__set_3__cleaned_SOUND.mat; session_45__set_7__cleaned_SOUND.mat,03_08EN_M1_AP_45MSO_real.hdf5; 07_08EN_M1_AP_45MSO_real.hdf5
08EN,45,real,M1_AP,rest,n100,80.0,120.0,2,34,112.80000000000001,-7.002802091091871,AF7,session_45__set_3__cleaned_SOUND.mat; session_45__set_7__cleaned_SOUND.mat,03_08EN_M1_AP_45MSO_real.hdf5; 07_08EN_M1_AP_45MSO_real.hdf5
08EN,45,real,M1_AP,rest,n100,80.0,120.0,3,34,112.39999999999998,-6.935901380777359,AF7,session_45__set_3__cleaned_SOUND.mat; session_45__set_7__cleaned_SOUND.mat,03_08EN_M1_AP_45MSO_real.hdf5; 07_08EN_M1_AP_45MSO_real.hdf5
08EN,45,real,M1_AP,onset,n20,10.0,25.0,1,9,10.199999999999989,-5.637769267559052,C3,session_45__set_3__cleaned_SOUND.mat; session_45__set_7__cleaned_SOUND.mat,03_08EN_M1_AP_45MSO_real.hdf5; 07_08EN_M1_AP_45MSO_real.hdf5
08EN,45,real,M1_AP,onset,n20,10.0,25.0,2,9,10.0,-5.499619318544864,C3,session_45__set_3__cleaned_SOUND.mat; session_45__set_7__cleaned_SOUND.mat,03_08EN_M1_AP_45MSO_real.hdf5; 07_08EN_M1_AP_45MSO_real.hdf5
08EN,45,real,M1_AP,onset,n20,10.0,25.0,3,9,10.399999999999977,-5.4297293728590015,C3,session_45__set_3__cleaned_SOUND.mat; session_45__set_7__cleaned_SOUND.mat,03_08EN_M1_AP_45MSO_real.hdf5; 07_08EN_M1_AP_45MSO_real.hdf5
08EN,45,real,M1_AP,onset,p30,20.0,40.0,1,16,25.600000000000023,5.097076329514384,Cz,session_45__set_3__cleaned_SOUND.mat; session_45__set_7__cleaned_SOUND.mat,03_08EN_M1_AP_45MSO_real.hdf5; 07_08EN_M1_AP_45MSO_real.hdf5
08EN,45,real,M1_AP,onset,p30,20.0,40.0,2,19,26.600000000000023,5.052580660581588,Pz,session_45__set_3__cleaned_SOUND.mat; session_45__set_7__cleaned_SOUND.mat,03_08EN_M1_AP_45MSO_real.hdf5; 07_08EN_M1_AP_45MSO_real.hdf5
08EN,45,real,M1_AP,onset,p30,20.0,40.0,3,50,26.399999999999977,5.036043888032436,CPz,session_45__set_3__cleaned_SOUND.mat; session_45__set_7__cleaned_SOUND.mat,03_08EN_M1_AP_45MSO_real.hdf5; 07_08EN_M1_AP_45MSO_real.hdf5
08EN,45,real,M1_AP,onset,n45,40.0,55.0,1,31,49.60000000000002,-4.3624570955336095,TP10,session_45__set_3__cleaned_SOUND.mat; session_45__set_7__cleaned_SOUND.mat,03_08EN_M1_AP_45MSO_real.hdf5; 07_08EN_M1_AP_45MSO_real.hdf5
08EN,45,real,M1_AP,onset,n45,40.0,55.0,2,31,50.19999999999999,-4.2538601549714805,TP10,session_45__set_3__cleaned_SOUND.mat; session_45__set_7__cleaned_SOUND.mat,03_08EN_M1_AP_45MSO_real.hdf5; 07_08EN_M1_AP_45MSO_real.hdf5
08EN,45,real,M1_AP,onset,n45,40.0,55.0,3,31,48.0,-4.196043517589569,TP10,session_45__set_3__cleaned_SOUND.mat; session_45__set_7__cleaned_SOUND.mat,03_08EN_M1_AP_45MSO_real.hdf5; 07_08EN_M1_AP_45MSO_real.hdf5
08EN,45,real,M1_AP,onset,p60,55.0,70.0,1,12,66.80000000000001,6.022849353551865,Fp1,session_45__set_3__cleaned_SOUND.mat; session_45__set_7__cleaned_SOUND.mat,03_08EN_M1_AP_45MSO_real.hdf5; 07_08EN_M1_AP_45MSO_real.hdf5
08EN,45,real,M1_AP,onset,p60,55.0,70.0,2,12,67.0,5.938158385753631,Fp1,session_45__set_3__cleaned_SOUND.mat; session_45__set_7__cleaned_SOUND.mat,03_08EN_M1_AP_45MSO_real.hdf5; 07_08EN_M1_AP_45MSO_real.hdf5
08EN,45,real,M1_AP,onset,p60,55.0,70.0,3,12,66.19999999999999,5.752667290568351,Fp1,session_45__set_3__cleaned_SOUND.mat; session_45__set_7__cleaned_SOUND.mat,03_08EN_M1_AP_45MSO_real.hdf5; 07_08EN_M1_AP_45MSO_real.hdf5
08EN,45,real,M1_AP,onset,n100,80.0,120.0,1,1,105.39999999999998,-9.423551468849181,TP9,session_45__set_3__cleaned_SOUND.mat; session_45__set_7__cleaned_SOUND.mat,03_08EN_M1_AP_45MSO_real.hdf5; 07_08EN_M1_AP_45MSO_real.hdf5
08EN,45,real,M1_AP,onset,n100,80.0,120.0,2,27,112.60000000000002,-9.383525071144105,FT10,session_45__set_3__cleaned_SOUND.mat; session_45__set_7__cleaned_SOUND.mat,03_08EN_M1_AP_45MSO_real.hdf5; 07_08EN_M1_AP_45MSO_real.hdf5
08EN,45,real,M1_AP,onset,n100,80.0,120.0,3,27,119.60000000000002,-9.350243000388145,FT10,session_45__set_3__cleaned_SOUND.mat; session_45__set_7__cleaned_SOUND.mat,03_08EN_M1_AP_45MSO_real.hdf5; 07_08EN_M1_AP_45MSO_real.hdf5
08EN,45,real,M1_AP,after,n20,10.0,25.0,1,10,14.800000000000011,-7.361519422754645,CP1,session_45__set_3__cleaned_SOUND.mat; session_45__set_7__cleaned_SOUND.mat,03_08EN_M1_AP_45MSO_real.hdf5; 07_08EN_M1_AP_45MSO_real.hdf5
08EN,45,real,M1_AP,after,n20,10.0,25.0,2,10,14.199999999999989,-7.242219164967537,CP1,session_45__set_3__cleaned_SOUND.mat; session_45__set_7__cleaned_SOUND.mat,03_08EN_M1_AP_45MSO_real.hdf5; 07_08EN_M1_AP_45MSO_real.hdf5
08EN,45,real,M1_AP,after,n20,10.0,25.0,3,10,12.399999999999977,-7.232850625663996,CP1,session_45__set_3__cleaned_SOUND.mat; session_45__set_7__cleaned_SOUND.mat,03_08EN_M1_AP_45MSO_real.hdf5; 07_08EN_M1_AP_45MSO_real.hdf5
08EN,45,real,M1_AP,after,p30,20.0,40.0,1,12,37.0,12.871143720149995,Fp1,session_45__set_3__cleaned_SOUND.mat; session_45__set_7__cleaned_SOUND.mat,03_08EN_M1_AP_45MSO_real.hdf5; 07_08EN_M1_AP_45MSO_real.hdf5
08EN,45,real,M1_AP,after,p30,20.0,40.0,2,12,37.80000000000001,12.615512484014035,Fp1,session_45__set_3__cleaned_SOUND.mat; session_45__set_7__cleaned_SOUND.mat,03_08EN_M1_AP_45MSO_real.hdf5; 07_08EN_M1_AP_45MSO_real.hdf5
08EN,45,real,M1_AP,after,p30,20.0,40.0,3,12,36.60000000000002,12.561122741699219,Fp1,session_45__set_3__cleaned_SOUND.mat; session_45__set_7__cleaned_SOUND.mat,03_08EN_M1_AP_45MSO_real.hdf5; 07_08EN_M1_AP_45MSO_real.hdf5
08EN,45,real,M1_AP,after,n45,40.0,55.0,1,10,43.80000000000001,-7.726895841956138,CP1,session_45__set_3__cleaned_SOUND.mat; session_45__set_7__cleaned_SOUND.mat,03_08EN_M1_AP_45MSO_real.hdf5; 07_08EN_M1_AP_45MSO_real.hdf5
08EN,45,real,M1_AP,after,n45,40.0,55.0,2,42,41.60000000000002,-7.576189299225807,C1,session_45__set_3__cleaned_SOUND.mat; session_45__set_7__cleaned_SOUND.mat,03_08EN_M1_AP_45MSO_real.hdf5; 07_08EN_M1_AP_45MSO_real.hdf5
08EN,45,real,M1_AP,after,n45,40.0,55.0,3,42,41.39999999999998,-7.538012601807713,C1,session_45__set_3__cleaned_SOUND.mat; session_45__set_7__cleaned_SOUND.mat,03_08EN_M1_AP_45MSO_real.hdf5; 07_08EN_M1_AP_45MSO_real.hdf5
08EN,45,real,M1_AP,after,p60,55.0,70.0,1,12,68.80000000000001,14.857461185157298,Fp1,session_45__set_3__cleaned_SOUND.mat; session_45__set_7__cleaned_SOUND.mat,03_08EN_M1_AP_45MSO_real.hdf5; 07_08EN_M1_AP_45MSO_real.hdf5
08EN,45,real,M1_AP,after,p60,55.0,70.0,2,12,69.0,14.842641624063253,Fp1,session_45__set_3__cleaned_SOUND.mat; session_45__set_7__cleaned_SOUND.mat,03_08EN_M1_AP_45MSO_real.hdf5; 07_08EN_M1_AP_45MSO_real.hdf5
08EN,45,real,M1_AP,after,p60,55.0,70.0,3,12,68.60000000000002,14.798019530028105,Fp1,session_45__set_3__cleaned_SOUND.mat; session_45__set_7__cleaned_SOUND.mat,03_08EN_M1_AP_45MSO_real.hdf5; 07_08EN_M1_AP_45MSO_real.hdf5
08EN,45,real,M1_AP,after,n100,80.0,120.0,1,11,113.0,-8.404968767166137,O1,session_45__set_3__cleaned_SOUND.mat; session_45__set_7__cleaned_SOUND.mat,03_08EN_M1_AP_45MSO_real.hdf5; 07_08EN_M1_AP_45MSO_real.hdf5
08EN,45,real,M1_AP,after,n100,80.0,120.0,2,11,112.60000000000002,-8.328999296426773,O1,session_45__set_3__cleaned_SOUND.mat; session_45__set_7__cleaned_SOUND.mat,03_08EN_M1_AP_45MSO_real.hdf5; 07_08EN_M1_AP_45MSO_real.hdf5
08EN,45,real,M1_AP,after,n100,80.0,120.0,3,41,109.80000000000001,-8.317403330802918,PO7,session_45__set_3__cleaned_SOUND.mat; session_45__set_7__cleaned_SOUND.mat,03_08EN_M1_AP_45MSO_real.hdf5; 07_08EN_M1_AP_45MSO_real.hdf5
08EN,45,MI,M1_PA,rest,n20,10.0,25.0,1,32,24.19999999999999,-13.65422466158867,FT7,session_45__set_2__cleaned_SOUND.mat; session_45__set_6__cleaned_SOUND.mat,02_08EN_M1_PA_39MSO_MI.hdf5; 06_08EN_M1_PA_39MSO_MI.hdf5
08EN,45,MI,M1_PA,rest,n20,10.0,25.0,2,32,24.399999999999977,-13.526094613075257,FT7,session_45__set_2__cleaned_SOUND.mat; session_45__set_6__cleaned_SOUND.mat,02_08EN_M1_PA_39MSO_MI.hdf5; 06_08EN_M1_PA_39MSO_MI.hdf5
08EN,45,MI,M1_PA,rest,n20,10.0,25.0,3,0,23.600000000000023,-13.521709699034691,T7,session_45__set_2__cleaned_SOUND.mat; session_45__set_6__cleaned_SOUND.mat,02_08EN_M1_PA_39MSO_MI.hdf5; 06_08EN_M1_PA_39MSO_MI.hdf5
08EN,45,MI,M1_PA,rest,p30,20.0,40.0,1,37,24.0,12.202140437215567,FC3,session_45__set_2__cleaned_SOUND.mat; session_45__set_6__cleaned_SOUND.mat,02_08EN_M1_PA_39MSO_MI.hdf5; 06_08EN_M1_PA_39MSO_MI.hdf5
08EN,45,MI,M1_PA,rest,p30,20.0,40.0,2,37,23.80000000000001,12.016965150460601,FC3,session_45__set_2__cleaned_SOUND.mat; session_45__set_6__cleaned_SOUND.mat,02_08EN_M1_PA_39MSO_MI.hdf5; 06_08EN_M1_PA_39MSO_MI.hdf5
08EN,45,MI,M1_PA,rest,p30,20.0,40.0,3,37,23.600000000000023,11.586957012563945,FC3,session_45__set_2__cleaned_SOUND.mat; session_45__set_6__cleaned_SOUND.mat,02_08EN_M1_PA_39MSO_MI.hdf5; 06_08EN_M1_PA_39MSO_MI.hdf5
