subject,session,run_cond,spot,condition,component,window_start_ms,window_end_ms,selected_rank,channel_idx,latency_ms,amplitude_uv,channel,source_files,source_originals
09TI,55,real,M1_AP,rest,n20,10.0,25.0,3,8,10.800000000000011,-8.198058949410916,P3,session_55__set_1__cleaned_SOUND.mat; session_55__set_5__cleaned_SOUND.mat,00_09TI_M1_AP_55MSO_real.hdf5; 04_09TI_M1_AP_50MSO_real.hdf5
09TI,55,real,M1_AP,rest,p30,20.0,40.0,1,31,39.80000000000001,5.543607904165984,TP10,session_55__set_1__cleaned_SOUND.mat; session_55__set_5__cleaned_SOUND.mat,00_09TI_M1_AP_55MSO_real.hdf5; 04_09TI_M1_AP_50MSO_real.hdf5
09TI,55,real,M1_AP,rest,p30,20.0,40.0,2,11,27.19999999999999,5.256855249404907,O1,session_55__set_1__cleaned_SOUND.mat; session_55__set_5__cleaned_SOUND.mat,00_09TI_M1_AP_55MSO_real.hdf5; 04_09TI_M1_AP_50MSO_real.hdf5
09TI,55,real,M1_AP,rest,p30,20.0,40.0,3,41,27.600000000000023,4.880084913149476,PO7,session_55__set_1__cleaned_SOUND.mat; session_55__set_5__cleaned_SOUND.mat,00_09TI_M1_AP_55MSO_real.hdf5; 04_09TI_M1_AP_50MSO_real.hdf5
09TI,55,real,M1_AP,rest,n45,40.0,55.0,1,16,43.80000000000001,-7.247521487474441,Cz,session_55__set_1__cleaned_SOUND.mat; session_55__set_5__cleaned_SOUND.mat,00_09TI_M1_AP_55MSO_real.hdf5; 04_09TI_M1_AP_50MSO_real.hdf5
09TI,55,real,M1_AP,rest,n45,40.0,55.0,2,10,41.80000000000001,-6.0575761950016025,CP1,session_55__set_1__cleaned_SOUND.mat; session_55__set_5__cleaned_SOUND.mat,00_09TI_M1_AP_55MSO_real.hdf5; 04_09TI_M1_AP_50MSO_real.hdf5
09TI,55,real,M1_AP,rest,n45,40.0,55.0,3,50,43.80000000000001,-5.948899687118828,CPz,session_55__set_1__cleaned_SOUND.mat; session_55__set_5__cleaned_SOUND.mat,00_09TI_M1_AP_55MSO_real.hdf5; 04_09TI_M1_AP_50MSO_real.hdf5
09TI,55,real,M1_AP,rest,p60,55.0,70.0,1,12,55.60000000000002,4.102699764370918,Fp1,session_55__set_1__cleaned_SOUND.mat; session_55__set_5__cleaned_SOUND.mat,00_09TI_M1_AP_55MSO_real.hdf5; 04_09TI_M1_AP_50MSO_real.hdf5
09TI,55,real,M1_AP,rest,p60,55.0,70.0,2,47,55.60000000000002,3.05197768509388,Fpz,session_55__set_1__cleaned_SOUND.mat; session_55__set_5__cleaned_SOUND.mat,00_09TI_M1_AP_55MSO_real.hdf5; 04_09TI_M1_AP_50MSO_real.hdf5
09TI,55,real,M1_AP,rest,p60,55.0,70.0,3,15,60.19999999999999,2.940811549425125,Fp2,session_55__set_1__cleaned_SOUND.mat; session_55__set_5__cleaned_SOUND.mat,00_09TI_M1_AP_55MSO_real.hdf5; 04_09TI_M1_AP_50MSO_real.hdf5
09TI,55,real,M1_AP,rest,n100,80.0,120.0,1,20,102.80000000000001,-5.117795386314392,O2,session_55__set_1__cleaned_SOUND.mat; session_55__set_5__cleaned_SOUND.mat,00_09TI_M1_AP_55MSO_real.hdf5; 04_09TI_M1_AP_50MSO_real.hdf5
09TI,55,real,M1_AP,rest,n100,80.0,120.0,2,21,103.39999999999998,-5.050915110558272,Oz,session_55__set_1__cleaned_SOUND.mat; session_55__set_5__cleaned_SOUND.mat,00_09TI_M1_AP_55MSO_real.hdf5; 04_09TI_M1_AP_50MSO_real.hdf5
09TI,55,real,M1_AP,rest,n100,80.0,120.0,3,11,109.60000000000002,-5.024066755175591,O1,session_55__set_1__cleaned_SOUND.mat; session_55__set_5__cleaned_SOUND.mat,00_09TI_M1_AP_55MSO_real.hdf5; 04_09TI_M1_AP_50MSO_real.hdf5
09TI,55,real,M1_AP,onset,n20,10.0,25.0,1,10,11.0,-8.372914992272854,CP1,session_55__set_1__cleaned_SOUND.mat; session_55__set_5__cleaned_SOUND.mat,00_09TI_M1_AP_55MSO_real.hdf5; 04_09TI_M1_AP_50MSO_real.hdf5
09TI,55,real,M1_AP,onset,n20,10.0,25.0,2,43,11.600000000000023,-7.955043217539787,P1,session_55__set_1__cleaned_SOUND.mat; session_55__set_5__cleaned_SOUND.mat,00_09TI_M1_AP_55MSO_real.hdf5; 04_09TI_M1_AP_50MSO_real.hdf5
09TI,55,real,M1_AP,onset,n20,10.0,25.0,3,38,10.600000000000023,-7.141510607004165,CP3,session_55__set_1__cleaned_SOUND.mat; session_55__set_5__cleaned_SOUND.mat,00_09TI_M1_AP_55MSO_real.hdf5; 04_09TI_M1_AP_50MSO_real.hdf5
09TI,55,real,M1_AP,onset,p30,20.0,40.0,1,11,28.19999999999999,9.940380146205426,O1,session_55__set_1__cleaned_SOUND.mat; session_55__set_5__cleaned_SOUND.mat,00_09TI_M1_AP_55MSO_real.hdf5; 04_09TI_M1_AP_50MSO_real.hdf5
09TI,55,real,M1_AP,onset,p30,20.0,40.0,2,41,28.19999999999999,9.244945111870766,PO7,session_55__set_1__cleaned_SOUND.mat; session_55__set_5__cleaned_SOUND.mat,00_09TI_M1_AP_55MSO_real.hdf5; 04_09TI_M1_AP_50MSO_real.hdf5
09TI,55,real,M1_AP,onset,p30,20.0,40.0,3,21,27.0,8.331189832687379,Oz,session_55__set_1__cleaned_SOUND.mat; session_55__set_5__cleaned_SOUND.mat,00_09TI_M1_AP_55MSO_real.hdf5; 04_09TI_M1_AP_50MSO_real.hdf5
