subject,session,run_cond,spot,condition,component,window_start_ms,window_end_ms,selected_rank,channel_idx,latency_ms,amplitude_uv,channel,source_files,source_originals
03AZ,40,real,M1_PA,after,n100,80.0,120.0,2,61,119.80000000000001,-9.45103948444128,AF8,session_40__set_2__cleaned_SOUND.mat; session_40__set_4__cleaned_SOUND.mat,01_03AZ_M1_PA_35MSO_real.hdf5; 03_03AZ_M1_PA_35MSO_real.hdf5
03AZ,40,real,M1_PA,after,n100,80.0,120.0,3,60,105.0,-7.6543933126330375,F6,session_40__set_2__cleaned_SOUND.mat; session_40__set_4__cleaned_SOUND.mat,01_03AZ_M1_PA_35MSO_real.hdf5; 03_03AZ_M1_PA_35MSO_real.hdf5
03AZ,40,MI,M1_PA,rest,n20,10.0,25.0,1,8,14.800000000000011,-4.674160393476487,P3,session_40__set_3__cleaned_SOUND.mat; session_40__set_5__cleaned_SOUND.mat,02_03AZ_M1_PA_35MSO_MI.hdf5; 04_03AZ_M1_PA_35MSO_MI.hdf5
03AZ,40,MI,M1_PA,rest,n20,10.0,25.0,2,41,14.800000000000011,-4.524407479017973,PO7,session_40__set_3__cleaned_SOUND.mat; session_40__set_5__cleaned_SOUND.mat,02_03AZ_M1_PA_35MSO_MI.hdf5; 04_03AZ_M1_PA_35MSO_MI.hdf5
03AZ,40,MI,M1_PA,rest,n20,10.0,25.0,3,11,14.399999999999977,-4.482658135592938,O1,session_40__set_3__cleaned_SOUND.mat; session_40__set_5__cleaned_SOUND.mat,02_03AZ_M1_PA_35MSO_MI.hdf5; 04_03AZ_M1_PA_35MSO_MI.hdf5
03AZ,40,MI,M1_PA,rest,p30,20.0,40.0,1,38,30.80000000000001,5.09599827170372,CP3,session_40__set_3__cleaned_SOUND.mat; session_40__set_5__cleaned_SOUND.mat,02_03AZ_M1_PA_35MSO_MI.hdf5; 04_03AZ_M1_PA_35MSO_MI.hdf5
03AZ,40,MI,M1_PA,rest,p30,20.0,40.0,2,3,39.19999999999999,5.052158969044686,CP5,session_40__set_3__cleaned_SOUND.mat; session_40__set_5__cleaned_SOUND.mat,02_03AZ_M1_PA_35MSO_MI.hdf5; 04_03AZ_M1_PA_35MSO_MI.hdf5
03AZ,40,MI,M1_PA,rest,p30,20.0,40.0,3,9,32.0,4.983883967995643,C3,session_40__set_3__cleaned_SOUND.mat; session_40__set_5__cleaned_SOUND.mat,02_03AZ_M1_PA_35MSO_MI.hdf5; 04_03AZ_M1_PA_35MSO_MI.hdf5
03AZ,40,MI,M1_PA,rest,n45,40.0,55.0,1,48,41.80000000000001,-8.545387968234717,FCz,session_40__set_3__cleaned_SOUND.mat; session_40__set_5__cleaned_SOUND.mat,02_03AZ_M1_PA_35MSO_MI.hdf5; 04_03AZ_M1_PA_35MSO_MI.hdf5
03AZ,40,MI,M1_PA,rest,n45,40.0,55.0,2,17,44.19999999999999,-7.548404096961021,FC2,session_40__set_3__cleaned_SOUND.mat; session_40__set_5__cleaned_SOUND.mat,02_03AZ_M1_PA_35MSO_MI.hdf5; 04_03AZ_M1_PA_35MSO_MI.hdf5
03AZ,40,MI,M1_PA,rest,n45,40.0,55.0,3,16,40.39999999999998,-7.4607509422302245,Cz,session_40__set_3__cleaned_SOUND.mat; session_40__set_5__cleaned_SOUND.mat,02_03AZ_M1_PA_35MSO_MI.hdf5; 04_03AZ_M1_PA_35MSO_MI.hdf5
03AZ,40,MI,M1_PA,rest,p60,55.0,70.0,1,24,70.0,3.5942844370007516,F4,session_40__set_3__cleaned_SOUND.mat; session_40__set_5__cleaned_SOUND.mat,02_03AZ_M1_PA_35MSO_MI.hdf5; 04_03AZ_M1_PA_35MSO_MI.hdf5
03AZ,40,MI,M1_PA,rest,p60,55.0,70.0,2,29,69.60000000000002,3.4876565849781036,P8,session_40__set_3__cleaned_SOUND.mat; session_40__set_5__cleaned_SOUND.mat,02_03AZ_M1_PA_35MSO_MI.hdf5; 04_03AZ_M1_PA_35MSO_MI.hdf5
03AZ,40,MI,M1_PA,rest,p60,55.0,70.0,3,38,55.60000000000002,3.458191663250327,CP3,session_40__set_3__cleaned_SOUND.mat; session_40__set_5__cleaned_SOUND.mat,02_03AZ_M1_PA_35MSO_MI.hdf5; 04_03AZ_M1_PA_35MSO_MI.hdf5
03AZ,40,MI,M1_PA,rest,n100,80.0,120.0,1,38,84.80000000000001,-8.253758456110955,CP3,session_40__set_3__cleaned_SOUND.mat; session_40__set_5__cleaned_SOUND.mat,02_03AZ_M1_PA_35MSO_MI.hdf5; 04_03AZ_M1_PA_35MSO_MI.hdf5
03AZ,40,MI,M1_PA,rest,n100,80.0,120.0,2,9,80.0,-6.921889293193817,C3,session_40__set_3__cleaned_SOUND.mat; session_40__set_5__cleaned_SOUND.mat,02_03AZ_M1_PA_35MSO_MI.hdf5; 04_03AZ_M1_PA_35MSO_MI.hdf5
03AZ,40,MI,M1_PA,rest,n100,80.0,120.0,3,3,80.60000000000002,-6.7427307735383515,CP5,session_40__set_3__cleaned_SOUND.mat; session_40__set_5__cleaned_SOUND.mat,02_03AZ_M1_PA_35MSO_MI.hdf5; 04_03AZ_M1_PA_35MSO_MI.hdf5
03AZ,40,MI,M1_PA,onset,n20,10.0,25.0,1,20,18.600000000000023,-4.4185108655691145,O2,session_40__set_3__cleaned_SOUND.mat; session_40__set_5__cleaned_SOUND.mat,02_03AZ_M1_PA_35MSO_MI.hdf5; 04_03AZ_M1_PA_35MSO_MI.hdf5
03AZ,40,MI,M1_PA,onset,n20,10.0,25.0,2,8,14.800000000000011,-4.270372505187988,P3,session_40__set_3__cleaned_SOUND.mat; session_40__set_5__cleaned_SOUND.mat,02_03AZ_M1_PA_35MSO_MI.hdf5; 04_03AZ_M1_PA_35MSO_MI.hdf5
03AZ,40,MI,M1_PA,onset,n20,10.0,25.0,3,54,19.0,-4.128117214143276,PO8,session_40__set_3__cleaned_SOUND.mat; session_40__set_5__cleaned_SOUND.mat,02_03AZ_M1_PA_35MSO_MI.hdf5; 04_03AZ_M1_PA_35MSO_MI.hdf5
03AZ,40,MI,M1_PA,onset,p30,20.0,40.0,1,38,29.80000000000001,7.671952669918537,CP3,session_40__set_3__cleaned_SOUND.mat; session_40__set_5__cleaned_SOUND.mat,02_03AZ_M1_PA_35MSO_MI.hdf5; 04_03AZ_M1_PA_35MSO_MI.hdf5
03AZ,40,MI,M1_PA,onset,p30,20.0,40.0,2,9,32.19999999999999,7.277448892593384,C3,session_40__set_3__cleaned_SOUND.mat; session_40__set_5__cleaned_SOUND.mat,02_03AZ_M1_PA_35MSO_MI.hdf5; 04_03AZ_M1_PA_35MSO_MI.hdf5
03AZ,40,MI,M1_PA,onset,p30,20.0,40.0,3,3,38.80000000000001,6.091963769495488,CP5,session_40__set_3__cleaned_SOUND.mat; session_40__set_5__cleaned_SOUND.mat,02_03AZ_M1_PA_35MSO_MI.hdf5; 04_03AZ_M1_PA_35MSO_MI.hdf5
03AZ,40,MI,M1_PA,onset,n45,40.0,55.0,1,48,44.60000000000002,-8.754638090729713,FCz,session_40__set_3__cleaned_SOUND.mat; session_40__set_5__cleaned_SOUND.mat,02_03AZ_M1_PA_35MSO_MI.hdf5; 04_03AZ_M1_PA_35MSO_MI.hdf5
03AZ,40,MI,M1_PA,onset,n45,40.0,55.0,2,16,44.0,-7.184965666979552,Cz,session_40__set_3__cleaned_SOUND.mat; session_40__set_5__cleaned_SOUND.mat,02_03AZ_M1_PA_35MSO_MI.hdf5; 04_03AZ_M1_PA_35MSO_MI.hdf5
03AZ,40,MI,M1_PA,onset,n45,40.0,55.0,3,17,44.19999999999999,-7.0005456802994015,FC2,session_40__set_3__cleaned_SOUND.mat; session_40__set_5__cleaned_SOUND.mat,02_03AZ_M1_PA_35MSO_MI.hdf5; 04_03AZ_M1_PA_35MSO_MI.hdf5
03AZ,40,MI,M1_PA,onset,p60,55.0,70.0,1,16,62.60000000000002,6.546322082206607,Cz,session_40__set_3__cleaned_SOUND.mat; session_40__set_5__cleaned_SOUND.mat,02_03AZ_M1_PA_35MSO_MI.hdf5; 04_03AZ_M1_PA_35MSO_MI.hdf5
