subject,session,run_cond,spot,condition,component,window_start_ms,window_end_ms,selected_rank,channel_idx,latency_ms,amplitude_uv,channel,source_files,source_originals
07IK,42,real,M1_PA,after,n100,80.0,120.0,2,27,116.19999999999999,-8.642082606554032,FT10,session_42__set_2__cleaned_SOUND.mat; session_42__set_6__cleaned_SOUND.mat,01_07IK_M1_PA_38MSO_real.hdf5; 05_07IK_M1_PA_38MSO_real.hdf5
07IK,42,real,M1_PA,after,n100,80.0,120.0,3,27,100.60000000000002,-8.361700849533081,FT10,session_42__set_2__cleaned_SOUND.mat; session_42__set_6__cleaned_SOUND.mat,01_07IK_M1_PA_38MSO_real.hdf5; 05_07IK_M1_PA_38MSO_real.hdf5
07IK,42,real,M1_AP,rest,n20,10.0,25.0,1,42,14.199999999999989,-17.8467804145813,C1,session_42__set_4__cleaned_SOUND.mat; session_42__set_8__cleaned_SOUND.mat,03_07IK_M1_AP_52MSO_real.hdf5; 07_07IK_M1_AP_52MSO_real.hdf5
07IK,42,real,M1_AP,rest,n20,10.0,25.0,2,42,13.800000000000011,-17.755471262931824,C1,session_42__set_4__cleaned_SOUND.mat; session_42__set_8__cleaned_SOUND.mat,03_07IK_M1_AP_52MSO_real.hdf5; 07_07IK_M1_AP_52MSO_real.hdf5
07IK,42,real,M1_AP,rest,n20,10.0,25.0,3,42,14.399999999999977,-17.6185377907753,C1,session_42__set_4__cleaned_SOUND.mat; session_42__set_8__cleaned_SOUND.mat,03_07IK_M1_AP_52MSO_real.hdf5; 07_07IK_M1_AP_52MSO_real.hdf5
07IK,42,real,M1_AP,rest,p30,20.0,40.0,1,14,20.399999999999977,9.54633309841156,Fz,session_42__set_4__cleaned_SOUND.mat; session_42__set_8__cleaned_SOUND.mat,03_07IK_M1_AP_52MSO_real.hdf5; 07_07IK_M1_AP_52MSO_real.hdf5
07IK,42,real,M1_AP,rest,p30,20.0,40.0,2,14,20.0,9.533431097269059,Fz,session_42__set_4__cleaned_SOUND.mat; session_42__set_8__cleaned_SOUND.mat,03_07IK_M1_AP_52MSO_real.hdf5; 07_07IK_M1_AP_52MSO_real.hdf5
07IK,42,real,M1_AP,rest,p30,20.0,40.0,3,14,20.600000000000023,9.504265880584716,Fz,session_42__set_4__cleaned_SOUND.mat; session_42__set_8__cleaned_SOUND.mat,03_07IK_M1_AP_52MSO_real.hdf5; 07_07IK_M1_AP_52MSO_real.hdf5
07IK,42,real,M1_AP,rest,n45,40.0,55.0,1,31,52.60000000000002,-5.943781050145626,TP10,session_42__set_4__cleaned_SOUND.mat; session_42__set_8__cleaned_SOUND.mat,03_07IK_M1_AP_52MSO_real.hdf5; 07_07IK_M1_AP_52MSO_real.hdf5
07IK,42,real,M1_AP,rest,n45,40.0,55.0,2,31,53.0,-5.9334713745117185,TP10,session_42__set_4__cleaned_SOUND.mat; session_42__set_8__cleaned_SOUND.mat,03_07IK_M1_AP_52MSO_real.hdf5; 07_07IK_M1_AP_52MSO_real.hdf5
07IK,42,real,M1_AP,rest,n45,40.0,55.0,3,31,52.80000000000001,-5.918701775297523,TP10,session_42__set_4__cleaned_SOUND.mat; session_42__set_8__cleaned_SOUND.mat,03_07IK_M1_AP_52MSO_real.hdf5; 07_07IK_M1_AP_52MSO_real.hdf5
07IK,42,real,M1_AP,rest,p60,55.0,70.0,1,42,55.0,8.043504774570465,C1,session_42__set_4__cleaned_SOUND.mat; session_42__set_8__cleaned_SOUND.mat,03_07IK_M1_AP_52MSO_real.hdf5; 07_07IK_M1_AP_52MSO_real.hdf5
07IK,42,real,M1_AP,rest,p60,55.0,70.0,2,42,55.60000000000002,7.570010431110859,C1,session_42__set_4__cleaned_SOUND.mat; session_42__set_8__cleaned_SOUND.mat,03_07IK_M1_AP_52MSO_real.hdf5; 07_07IK_M1_AP_52MSO_real.hdf5
07IK,42,real,M1_AP,rest,p60,55.0,70.0,3,42,55.19999999999999,7.37627604149282,C1,session_42__set_4__cleaned_SOUND.mat; session_42__set_8__cleaned_SOUND.mat,03_07IK_M1_AP_52MSO_real.hdf5; 07_07IK_M1_AP_52MSO_real.hdf5
07IK,42,real,M1_AP,rest,n100,80.0,120.0,1,10,115.60000000000002,-14.092097415924073,CP1,session_42__set_4__cleaned_SOUND.mat; session_42__set_8__cleaned_SOUND.mat,03_07IK_M1_AP_52MSO_real.hdf5; 07_07IK_M1_AP_52MSO_real.hdf5
07IK,42,real,M1_AP,rest,n100,80.0,120.0,2,10,116.80000000000001,-14.02698854893446,CP1,session_42__set_4__cleaned_SOUND.mat; session_42__set_8__cleaned_SOUND.mat,03_07IK_M1_AP_52MSO_real.hdf5; 07_07IK_M1_AP_52MSO_real.hdf5
07IK,42,real,M1_AP,rest,n100,80.0,120.0,3,10,115.80000000000001,-13.990747487843036,CP1,session_42__set_4__cleaned_SOUND.mat; session_42__set_8__cleaned_SOUND.mat,03_07IK_M1_AP_52MSO_real.hdf5; 07_07IK_M1_AP_52MSO_real.hdf5
07IK,42,real,M1_AP,onset,n20,10.0,25.0,1,42,10.0,-15.639906888008118,C1,session_42__set_4__cleaned_SOUND.mat; session_42__set_8__cleaned_SOUND.mat,03_07IK_M1_AP_52MSO_real.hdf5; 07_07IK_M1_AP_52MSO_real.hdf5
07IK,42,real,M1_AP,onset,n20,10.0,25.0,2,42,10.199999999999989,-15.204023914337158,C1,session_42__set_4__cleaned_SOUND.mat; session_42__set_8__cleaned_SOUND.mat,03_07IK_M1_AP_52MSO_real.hdf5; 07_07IK_M1_AP_52MSO_real.hdf5
07IK,42,real,M1_AP,onset,n20,10.0,25.0,3,42,11.0,-14.713374347686768,C1,session_42__set_4__cleaned_SOUND.mat; session_42__set_8__cleaned_SOUND.mat,03_07IK_M1_AP_52MSO_real.hdf5; 07_07IK_M1_AP_52MSO_real.hdf5
07IK,42,real,M1_AP,onset,p30,20.0,40.0,1,42,30.600000000000023,11.850460023880006,C1,session_42__set_4__cleaned_SOUND.mat; session_42__set_8__cleaned_SOUND.mat,03_07IK_M1_AP_52MSO_real.hdf5; 07_07IK_M1_AP_52MSO_real.hdf5
07IK,42,real,M1_AP,onset,p30,20.0,40.0,2,42,30.399999999999977,11.709998629093171,C1,session_42__set_4__cleaned_SOUND.mat; session_42__set_8__cleaned_SOUND.mat,03_07IK_M1_AP_52MSO_real.hdf5; 07_07IK_M1_AP_52MSO_real.hdf5
07IK,42,real,M1_AP,onset,p30,20.0,40.0,3,42,30.80000000000001,11.695167367458344,C1,session_42__set_4__cleaned_SOUND.mat; session_42__set_8__cleaned_SOUND.mat,03_07IK_M1_AP_52MSO_real.hdf5; 07_07IK_M1_AP_52MSO_real.hdf5
07IK,42,real,M1_AP,onset,n45,40.0,55.0,1,46,49.60000000000002,-5.819374135434628,AF4,session_42__set_4__cleaned_SOUND.mat; session_42__set_8__cleaned_SOUND.mat,03_07IK_M1_AP_52MSO_real.hdf5; 07_07IK_M1_AP_52MSO_real.hdf5
07IK,42,real,M1_AP,onset,n45,40.0,55.0,2,31,53.80000000000001,-5.801125383228063,TP10,session_42__set_4__cleaned_SOUND.mat; session_42__set_8__cleaned_SOUND.mat,03_07IK_M1_AP_52MSO_real.hdf5; 07_07IK_M1_AP_52MSO_real.hdf5
07IK,42,real,M1_AP,onset,n45,40.0,55.0,3,15,50.60000000000002,-5.709303094148636,Fp2,session_42__set_4__cleaned_SOUND.mat; session_42__set_8__cleaned_SOUND.mat,03_07IK_M1_AP_52MSO_real.hdf5; 07_07IK_M1_AP_52MSO_real.hdf5
07IK,42,real,M1_AP,onset,p60,55.0,70.0,1,50,55.80000000000001,6.713823493830859,CPz,session_42__set_4__cleaned_SOUND.mat; session_42__set_8__cleaned_SOUND.mat,03_07IK_M1_AP_52MSO_real.hdf5; 07_07IK_M1_AP_52MSO_real.hdf5
07IK,42,real,M1_AP,onset,p60,55.0,70.0,2,50,57.39999999999998,6.509611173123122,CPz,session_42__set_4__cleaned_SOUND.mat; session_42__set_8__cleaned_SOUND.mat,03_07IK_M1_AP_52MSO_real.hdf5; 07_07IK_M1_AP_52MSO_real.hdf5
07IK,42,real,M1_AP,onset,p60,55.0,70.0,3,50,55.0,6.391880809338764,CPz,session_42__set_4__cleaned_SOUND.mat; session_42__set_8__cleaned_SOUND.mat,03_07IK_M1_AP_52MSO_real.hdf5; 07_07IK_M1_AP_52MSO_real.hdf5
07IK,42,real,M1_AP,onset,n100,80.0,120.0,1,31,86.0,-4.544094477593899,TP10,session_42__set_4__cleaned_SOUND.mat; session_42__set_8__cleaned_SOUND.mat,03_07IK_M1_AP_52MSO_real.hdf5; 07_07IK_M1_AP_52MSO_real.hdf5
07IK,42,real,M1_AP,onset,n100,80.0,120.0,2,31,85.0,-4.485398863404989,TP10,session_42__set_4__cleaned_SOUND.mat; session_42__set_8__cleaned_SOUND.mat,03_07IK_M1_AP_52MSO_real.hdf5; 07_07IK_M1_AP_52MSO_real.hdf5
07IK,42,real,M1_AP,onset,n100,80.0,120.0,3,3,109.80000000000001,-4.464660428762436,CP5,session_42__set_4__cleaned_SOUND.mat; session_42__set_8__cleaned_SOUND.mat,03_07IK_M1_AP_52MSO_real.hdf5; 07_07IK_M1_AP_52MSO_real.hdf5
07IK,42,real,M1_AP,after,n20,10.0,25.0,1,42,10.0,-16.795916705131532,C1,session_42__set_4__cleaned_SOUND.mat; session_42__set_8__cleaned_SOUND.mat,03_07IK_M1_AP_52MSO_real.hdf5; 07_07IK_M1_AP_52MSO_real.hdf5
07IK,42,real,M1_AP,after,n20,10.0,25.0,2,42,10.199999999999989,-15.831198530197144,C1,session_42__set_4__cleaned_SOUND.mat; session_42__set_8__cleaned_SOUND.mat,03_07IK_M1_AP_52MSO_real.hdf5; 07_07IK_M1_AP_52MSO_real.hdf5
07IK,42,real,M1_AP,after,n20,10.0,25.0,3,42,10.600000000000023,-15.530646419525146,C1,session_42__set_4__cleaned_SOUND.mat; session_42__set_8__cleaned_SOUND.mat,03_07IK_M1_AP_52MSO_real.hdf5; 07_07IK_M1_AP_52MSO_real.hdf5
07IK,42,real,M1_AP,after,p30,20.0,40.0,1,42,29.0,7.734882153272629,C1,session_42__set_4__cleaned_SOUND.mat; session_42__set_8__cleaned_SOUND.mat,03_07IK_M1_AP_52MSO_real.hdf5; 07_07IK_M1_AP_52MSO_real.hdf5
07IK,42,real,M1_AP,after,p30,20.0,40.0,2,42,29.399999999999977,7.527523049321026,C1,session_42__set_4__cleaned_SOUND.mat; session_42__set_8__cleaned_SOUND.mat,03_07IK_M1_AP_52MSO_real.hdf5; 07_07IK_M1_AP_52MSO_real.hdf5
07IK,42,real,M1_AP,after,p30,20.0,40.0,3,42,29.19999999999999,7.51909607373178,C1,session_42__set_4__cleaned_SOUND.mat; session_42__set_8__cleaned_SOUND.mat,03_07IK_M1_AP_52MSO_real.hdf5; 07_07IK_M1_AP_52MSO_real.hdf5
07IK,42,real,M1_AP,after,n45,40.0,55.0,1,27,53.60000000000002,-6.056745693385601,FT10,session_42__set_4__cleaned_SOUND.mat; session_42__set_8__cleaned_SOUND.mat,03_07IK_M1_AP_52MSO_real.hdf5; 07_07IK_M1_AP_52MSO_real.hdf5
07IK,42,real,M1_AP,after,n45,40.0,55.0,2,46,49.19999999999999,-5.772761766314506,AF4,session_42__set_4__cleaned_SOUND.mat; session_42__set_8__cleaned_SOUND.mat,03_07IK_M1_AP_52MSO_real.hdf5; 07_07IK_M1_AP_52MSO_real.hdf5
07IK,42,real,M1_AP,after,n45,40.0,55.0,3,27,52.39999999999998,-5.574074283838272,FT10,session_42__set_4__cleaned_SOUND.mat; session_42__set_8__cleaned_SOUND.mat,03_07IK_M1_AP_52MSO_real.hdf5; 07_07IK_M1_AP_52MSO_real.hdf5
07IK,42,real,M1_AP,after,p60,55.0,70.0,1,47,69.39999999999998,5.825208834409714,Fpz,session_42__set_4__cleaned_SOUND.mat; session_42__set_8__cleaned_SOUND.mat,03_07IK_M1_AP_52MSO_real.hdf5; 07_07IK_M1_AP_52MSO_real.hdf5
07IK,42,real,M1_AP,after,p60,55.0,70.0,2,47,70.0,5.679056308455765,Fpz,session_42__set_4__cleaned_SOUND.mat; session_42__set_8__cleaned_SOUND.mat,03_07IK_M1_AP_52MSO_real.hdf5; 07_07IK_M1_AP_52MSO_real.hdf5
07IK,42,real,M1_AP,after,p60,55.0,70.0,3,15,69.19999999999999,5.573795120939613,Fp2,session_42__set_4__cleaned_SOUND.mat; session_42__set_8__cleaned_SOUND.mat,03_07IK_M1_AP_52MSO_real.hdf5; 07_07IK_M1_AP_52MSO_real.hdf5
07IK,42,real,M1_AP,after,n100,80.0,120.0,1,27,119.0,-9.25987818300724,FT10,session_42__set_4__cleaned_SOUND.mat; session_42__set_8__cleaned_SOUND.mat,03_07IK_M1_AP_52MSO_real.hdf5; 07_07IK_M1_AP_52MSO_real.hdf5
07IK,42,real,M1_AP,after,n100,80.0,120.0,2,27,120.0,-9.130706605017185,FT10,session_42__set_4__cleaned_SOUND.mat; session_42__set_8__cleaned_SOUND.mat,03_07IK_M1_AP_52MSO_real.hdf5; 07_07IK_M1_AP_52MSO_real.hdf5
07IK,42,real,M1_AP,after,n100,80.0,120.0,3,27,117.39999999999998,-8.87151099205017,FT10,session_42__set_4__cleaned_SOUND.mat; session_42__set_8__cleaned_SOUND.mat,03_07IK_M1_AP_52MSO_real.hdf5; 07_07IK_M1_AP_52MSO_real.hdf5
07IK,42,MI,M1_PA,rest,n20,10.0,25.0,1,54,13.800000000000011,-4.0787716779112815,PO8,session_42__set_3__cleaned_SOUND.mat; session_42__set_7__cleaned_SOUND.mat,02_07IK_M1_PA_38MSO_MI.hdf5; 06_07IK_M1_PA_38MSO_MI.hdf5
07IK,42,MI,M1_PA,rest,n20,10.0,25.0,2,31,22.600000000000023,-3.9264390110969543,TP10,session_42__set_3__cleaned_SOUND.mat; session_42__set_7__cleaned_SOUND.mat,02_07IK_M1_PA_38MSO_MI.hdf5; 06_07IK_M1_PA_38MSO_MI.hdf5
07IK,42,MI,M1_PA,rest,n20,10.0,25.0,3,56,19.80000000000001,-3.7835164891183375,P6,session_42__set_3__cleaned_SOUND.mat; session_42__set_7__cleaned_SOUND.mat,02_07IK_M1_PA_38MSO_MI.hdf5; 06_07IK_M1_PA_38MSO_MI.hdf5
07IK,42,MI,M1_PA,rest,p30,20.0,40.0,1,9,29.80000000000001,9.66188856780529,C3,session_42__set_3__cleaned_SOUND.mat; session_42__set_7__cleaned_SOUND.mat,02_07IK_M1_PA_38MSO_MI.hdf5; 06_07IK_M1_PA_38MSO_MI.hdf5
07IK,42,MI,M1_PA,rest,p30,20.0,40.0,2,9,32.39999999999998,9.332443489730359,C3,session_42__set_3__cleaned_SOUND.mat; session_42__set_7__cleaned_SOUND.mat,02_07IK_M1_PA_38MSO_MI.hdf5; 06_07IK_M1_PA_38MSO_MI.hdf5
07IK,42,MI,M1_PA,rest,p30,20.0,40.0,3,9,30.19999999999999,9.239115729629994,C3,session_42__set_3__cleaned_SOUND.mat; session_42__set_7__cleaned_SOUND.mat,02_07IK_M1_PA_38MSO_MI.hdf5; 06_07IK_M1_PA_38MSO_MI.hdf5
