subject,session,run_cond,spot,condition,component,window_start_ms,window_end_ms,selected_rank,channel_idx,latency_ms,amplitude_uv,channel,source_files,source_originals
14AL,58,real,M1_PA,after,n100,80.0,120.0,3,55,110.39999999999998,-4.646338375434279,PO4,session_58__set_3__cleaned_SOUND.mat; session_58__set_7__cleaned_SOUND.mat,02_14AL_M1_PA_41MSO_real.hdf5; 06_14AL_M1_PA_41MSO_real.hdf5
14AL,58,real,M1_AP,rest,n20,10.0,25.0,1,42,10.199999999999989,-14.086420822143555,C1,session_58__set_1__cleaned_SOUND.mat; session_58__set_5__cleaned_SOUND.mat,00_14AL_M1_AP_54MSO_real.hdf5; 04_14AL_M1_AP_54MSO_real.hdf5
14AL,58,real,M1_AP,rest,n20,10.0,25.0,2,9,16.19999999999999,-12.063749175071717,C3,session_58__set_1__cleaned_SOUND.mat; session_58__set_5__cleaned_SOUND.mat,00_14AL_M1_AP_54MSO_real.hdf5; 04_14AL_M1_AP_54MSO_real.hdf5
14AL,58,real,M1_AP,rest,n20,10.0,25.0,3,38,18.19999999999999,-11.725305474400521,CP3,session_58__set_1__cleaned_SOUND.mat; session_58__set_5__cleaned_SOUND.mat,00_14AL_M1_AP_54MSO_real.hdf5; 04_14AL_M1_AP_54MSO_real.hdf5
14AL,58,real,M1_AP,rest,p30,20.0,40.0,1,48,20.600000000000023,11.264449586868286,FCz,session_58__set_1__cleaned_SOUND.mat; session_58__set_5__cleaned_SOUND.mat,00_14AL_M1_AP_54MSO_real.hdf5; 04_14AL_M1_AP_54MSO_real.hdf5
14AL,58,real,M1_AP,rest,p30,20.0,40.0,2,12,23.19999999999999,9.459479085803032,Fp1,session_58__set_1__cleaned_SOUND.mat; session_58__set_5__cleaned_SOUND.mat,00_14AL_M1_AP_54MSO_real.hdf5; 04_14AL_M1_AP_54MSO_real.hdf5
14AL,58,real,M1_AP,rest,p30,20.0,40.0,3,47,23.600000000000023,8.552330720312893,Fpz,session_58__set_1__cleaned_SOUND.mat; session_58__set_5__cleaned_SOUND.mat,00_14AL_M1_AP_54MSO_real.hdf5; 04_14AL_M1_AP_54MSO_real.hdf5
14AL,58,real,M1_AP,rest,n45,40.0,55.0,1,11,40.19999999999999,-9.318183842748404,O1,session_58__set_1__cleaned_SOUND.mat; session_58__set_5__cleaned_SOUND.mat,00_14AL_M1_AP_54MSO_real.hdf5; 04_14AL_M1_AP_54MSO_real.hdf5
14AL,58,real,M1_AP,rest,n45,40.0,55.0,2,41,40.39999999999998,-7.442337971627712,PO7,session_58__set_1__cleaned_SOUND.mat; session_58__set_5__cleaned_SOUND.mat,00_14AL_M1_AP_54MSO_real.hdf5; 04_14AL_M1_AP_54MSO_real.hdf5
14AL,58,real,M1_AP,rest,n45,40.0,55.0,3,58,50.60000000000002,-6.215728815495968,FC4,session_58__set_1__cleaned_SOUND.mat; session_58__set_5__cleaned_SOUND.mat,00_14AL_M1_AP_54MSO_real.hdf5; 04_14AL_M1_AP_54MSO_real.hdf5
14AL,58,real,M1_AP,rest,p60,55.0,70.0,1,12,68.39999999999998,11.473609556555749,Fp1,session_58__set_1__cleaned_SOUND.mat; session_58__set_5__cleaned_SOUND.mat,00_14AL_M1_AP_54MSO_real.hdf5; 04_14AL_M1_AP_54MSO_real.hdf5
